,c2,ec2,c1,ec1,Weight,trueWeight,min,normalized,err
219,0.2229,0.0758,2.4651,1.5247,0.006565957,4.698653,,4.687783173,0.010869827
220,0.32,0.1203,1.4099,1.3311,0.003829937,2.739437,,2.73439414,0.00504286
221,0.28,0.0636,1.6688,1.6259,0.00509913,3.646476,,3.6405384,0.0059376
222,-0.0201,0.007,2.4421,0.4245,0.016542994,11.849252,,11.81091687,0.038335127
223,0.3981,0.0876,1.767,1.7396,0.002847123,2.034523,,2.032711614,0.001811386
224,0.4511,0.0475,0.4689,1.7695,0.002329818,1.664337,,1.663379964,0.000957036
225,0.4581,0.07,1.196,1.3657,0.002296217,1.640219,,1.639390712,0.000828288
226,0.5901,0.1089,-0.0048,0.3224,0.001711231,1.220299,,1.221737868,0.001438868
227,0.2771,0.0711,1.6769,1.6633,0.005094591,3.64353,,3.637297275,0.006232725
228,0.771,0.1447,0.5709,3.064,0.001808747,1.289298,,1.291360323,0.002062323
229,0.826,0.0972,-0.6401,0.5091,0.001875952,1.338464,,1.339340989,0.000876989
230,0.6109,0.0525,0.8729,1.0404,0.001578898,1.127417,,1.127258569,0.000158431
231,0.4479,0.0458,0.9291,0.9071,0.002351343,1.679493,,1.678747756,0.000745244
232,0.5041,0.0438,1.0449,0.61,0.002011891,1.437176,,1.436395244,0.000780756
233,0.5705,0.0649,-0.0802,1.6746,0.001717898,1.226539,,1.226498006,4.09942E-05
234,0.57,0.0356,0.57,0.9186,0.001713902,1.224349,,1.223645048,0.000703952
235,0.455,0.0491,1.322,0.7907,0.002303527,1.64524,,1.644609849,0.000630151
236,0.491,0.0894,1.074,1.1556,0.002093588,1.494549,,1.49472273,0.00017373
237,0.3789,0.0673,1.466,2.3835,0.00309808,2.213971,,2.211882765,0.002088235
238,0.7441,0.0334,0.1001,0.6315,0.001440652,1.028602,,1.028557534,4.44657E-05
239,0.906,0.0619,-0.5011,0.6769,0.0025042,1.789018,,1.787880706,0.001137294
240,0.7621,0.1361,0.434,0.6779,0.001759603,1.254409,,1.256273527,0.001864527
241,0.494,0.0864,0.857,1.6547,0.002074728,1.481461,,1.481258209,0.000202791
242,0.9091,0.0565,-0.6149,1.7077,0.002548057,1.820816,,1.819192299,0.001623701
243,1.1242,0.1604,0,0.3698,0.005737402,4.107021,,4.096234617,0.010786383
244,0.808,0.1135,0.3129,5.4225,0.001830899,1.306152,,1.307175511,0.001023511
245,0.851,0.191,-0.534,1.0703,0.002224673,1.585655,,1.588311662,0.002656662
246,0.6681,0.1118,-0.2929,2.0595,0.001599578,1.140427,,1.142022988,0.001595988
247,0.448,0.0743,1.4469,0.9099,0.002374652,1.696374,,1.695389513,0.000984487
248,0.9889,0.1761,-1.157,0.4194,0.003216381,2.295476,,2.296344358,0.000868358
249,0.6239,0.1807,1.3799,2.2031,0.001865603,1.329569,,1.331952188,0.002383188
250,0.3709,0.0724,1.9789,1.1922,0.003205978,2.290865,,2.288916798,0.001948202
251,0.254,0.0465,2.0739,0.6736,0.005994537,4.286094,,4.27981684,0.00627716
252,0.38,0.0422,0.942,0.6305,0.003092009,2.208443,,2.207548735,0.000894265
253,0.4352,0.1072,1.5849,1.773,0.002487858,1.776649,,1.776213404,0.000435596
254,0.875,0.1501,-0.608,0.7909,0.002249469,1.604345,,1.606014602,0.001669602
255,0.7161,0.0964,-0.749,1.0209,0.001560212,1.112848,,1.113917949,0.001069949
256,0.633,0.0551,0.565,1.2432,0.00152282,1.087007,,1.087221392,0.000214392
257,0.9779,0.1445,-1.045,0.6148,0.003164684,2.259667,,2.259435013,0.000231987
258,0.8482,0.0809,0.101,1.9928,0.001984529,1.416406,,1.416860346,0.000454346
259,1.1021,0.1384,-1.265,0.4322,0.005493274,3.933122,,3.921938622,0.011183378
260,0.7311,0.0418,0.252,1.0415,0.001432273,1.022475,,1.022575662,0.000100662
261,1.0889,0.1138,-0.9271,0.1958,0.005495517,3.93662,,3.923539776,0.013080224
262,0.936,0.0632,-0.7371,0.1863,0.002869785,2.051027,,2.048890987,0.002136013
263,0.595,0.0628,0.7781,0.7473,0.001633707,1.166218,,1.166389484,0.000171484
264,0.7491,0.0474,0.3299,1.2665,0.001478416,1.055305,,1.055519588,0.000214588
265,0.6551,0.0674,0.7219,0.9292,0.001500201,1.070613,,1.071072732,0.000459732
266,0.822,0.1006,-0.2449,0.7917,0.001862714,1.329195,,1.329889969,0.000694969
267,0.6729,0.0412,0.6509,0.5813,0.00142967,1.020706,,1.020716811,1.08107E-05
268,0.963,0.1897,-0.6461,0.7032,0.002942172,2.09862,,2.100572224,0.001952224
269,0.4261,0.1111,1.4752,1.6558,0.002564219,1.831366,,1.830731632,0.000634368
270,0.6,0.0507,0.5939,0.8966,0.001611344,1.150686,,1.150423579,0.000262421
271,0.6721,0.0702,0.6679,1.0881,0.001486955,1.061037,,1.061615481,0.000578481
272,1.0139,0.1928,-0.722,0.8149,0.003466605,2.473863,,2.474992156,0.001129156
273,1.2561,0.3044,-1.1251,0.5443,0.00673615,4.806634,,4.809293028,0.002659028
274,0.7951,0.0483,0.0101,0.2989,0.001642682,1.17267,,1.172797367,0.000127367
275,0.7619,0.1142,-0.5261,0.534,0.001688336,1.204104,,1.205391923,0.001287923
276,0.8851,0.2067,0.3141,1.7486,0.002428117,1.73049,,1.733561309,0.003071309
277,0.7591,0.1629,0.0033,0.6378,0.001846347,1.316095,,1.318204751,0.002109751
278,0.8981,0.1146,-0.8169,0.5557,0.002380571,1.699152,,1.699615393,0.000463393
279,0.605,0.0595,0.4949,0.9656,0.001600964,1.142886,,1.14301307,0.00012707
280,0.975,0.0539,0.2079,0.8501,0.003502346,2.503406,,2.500509811,0.002896189
281,0.5321,0.0531,0.8189,0.9335,0.001873729,1.338304,,1.337754344,0.000549656
282,0.4631,0.0603,1.0399,0.9089,0.00225508,1.610704,,1.610020434,0.000683566
283,0.5918,0.0889,0.3721,1.0928,0.001671245,1.192223,,1.193190422,0.000967422
284,0.7721,0.0711,0.48,1.0211,0.001595217,1.138324,,1.138909423,0.000585423
285,0.6798,0.0623,0.0809,1.2509,0.001463362,1.044344,,1.044771757,0.000427757
286,0.954,0.1393,-0.5249,0.7172,0.002900091,2.070086,,2.070527932,0.000441932
287,0.4691,0.065,1.5499,0.8536,0.002217376,1.583885,,1.583101717,0.000783283
288,0.6611,0.1076,0.434,0.8448,0.001591475,1.134811,,1.136238028,0.001427028
289,0.727,0.1241,0.485,1.1652,0.001660083,1.183526,,1.185221243,0.001695243
290,1.733,0.3429,-2.2719,0.06,0.035192565,25.836893,,25.12583059,0.711062408
291,0.9261,0.1322,-0.1,1.5448,0.002625799,1.874388,,1.874696328,0.000308328
292,0.9161,0.1586,-0.6809,0.786,0.002542324,1.813356,,1.815099526,0.001743526
293,1.0039,0.0944,-1.0231,0.4927,0.003806432,2.723028,,2.717613019,0.005414981
294,0.5291,0.038,0.6239,0.5325,0.001887955,1.348731,,1.347910578,0.000820422
295,0.5448,0.0379,0.7055,0.7179,0.001816169,1.297393,,1.296658751,0.000734249
296,0.613,0.0406,0.36,1.0432,0.001567607,1.119579,,1.119197628,0.000381372
297,0.5401,0.0356,0.5961,0.8616,0.001836471,1.311867,,1.311153978,0.000713022
298,0.7251,0.0594,0.1091,1.2332,0.001465145,1.045685,,1.046044117,0.000359117
299,0.577,0.0519,0.326,0.8484,0.001690125,1.20698,,1.20666917,0.00031083
300,0.66,0.1342,0.638,1.8674,0.001673657,1.193155,,1.194911942,0.001756942
301,0.4351,0.1286,1.7079,2.6381,0.002490847,1.777849,,1.778347178,0.000498178
302,0.5821,0.1122,0.245,5.2379,0.001739246,1.240335,,1.241739424,0.001404424
303,0.924,0.1974,-0.4019,0.7392,0.002640794,1.88278,,1.885402008,0.002622008
304,0.864,0.0929,-0.264,1.0849,0.002104375,1.5023,,1.502424387,0.000124387
305,0.607,0.0661,1.141,0.8186,0.001600931,1.142737,,1.142989073,0.000252073
306,0.666,0.0997,0.3569,0.8923,0.001565983,1.116772,,1.118038192,0.001266192
307,0.528,0.0944,1.0489,0.9716,0.001908203,1.361595,,1.362366598,0.000771598
308,1.1201,0.2066,-1.8809,0.3353,0.005042959,3.602774,,3.6004347,0.0023393
309,0.6811,0.0738,0.5689,1.2521,0.001489669,1.062872,,1.063553426,0.000681426
310,0.6401,0.0351,0.5589,0.5976,0.001488063,1.062627,,1.062406939,0.000220061
311,0.82,0.0405,-0.4771,0.563,0.001772864,1.266138,,1.265741175,0.000396825
312,0.7981,0.0361,0.261,0.6122,0.001645036,1.174945,,1.174477939,0.000467061
313,0.743,0.0442,0.515,0.763,0.001458333,1.041092,,1.041180922,8.89221E-05
314,0.8381,0.0256,0,0.0801,0.001893506,1.352487,,1.351874019,0.000612981
315,1.1541,0.2044,-1.2371,0.3745,0.0058193,4.162159,,4.154705708,0.007453292
316,0.584,0.0623,1.2529,1.0782,0.001669223,1.191778,,1.191746383,3.16165E-05
317,0.7811,0.1005,-0.5671,1.7004,0.001699714,1.21241,,1.213515335,0.001105335
318,0.715,0.1093,0.703,0.9922,0.00159948,1.140549,,1.141953534,0.001404534
319,0.4479,0.1271,1.1171,1.2638,0.002395229,1.709435,,1.710080146,0.000645146
320,1.0099,0.0889,-0.808,0.5903,0.003956976,2.829996,,2.825094054,0.004901946
321,0.6611,0.0531,0.3209,0.8246,0.001465703,1.046287,,1.046442655,0.000155655
322,0.632,0.0781,0.5829,0.9464,0.001558834,1.112185,,1.112933569,0.000748569
323,0.7315,0.0784,0.1995,1.3504,0.001524123,1.087411,,1.088152246,0.000741246
324,0.625,0.0766,0.4439,0.775,0.001570397,1.120533,,1.121189537,0.000656537
325,0.4599,0.0782,1.6779,1.0591,0.00228789,1.633985,,1.633445666,0.000539334
326,0.6541,0.0531,0.2872,0.8774,0.001477074,1.054344,,1.054561428,0.000217428
327,0.906,0.0603,-0.3549,0.8254,0.002506709,1.7914,,1.789672214,0.001727786
328,0.6861,0.0634,0.4971,1.0218,0.001462393,1.043631,,1.044079768,0.000448768
329,0.697,0.0472,0.3359,0.6077,0.001422779,1.015635,,1.015796816,0.000161816
330,0.6919,0.0711,-0.0009,0.29,0.001479603,1.055642,,1.056366419,0.000724419
331,0.8859,0.1565,-1.0221,0.6049,0.002327752,1.660269,,1.661905381,0.001636381
332,0.573,0.066,0.3171,0.4541,0.001709362,1.220393,,1.22040386,1.08596E-05
333,0.5809,0.0694,0.6121,1.0666,0.001683922,1.201874,,1.202240826,0.000366826
334,0.7641,0.0721,-0.3159,1.2552,0.001574006,1.123211,,1.123766346,0.000555346
335,0.6431,0.058,0.4692,0.9078,0.001504746,1.07403,,1.074317451,0.000287451
336,0.5929,0.0729,0.9759,1.4256,0.001648516,1.176496,,1.176962461,0.000466461
337,0.7141,0.0544,-0.0019,0.3237,0.001443092,1.030014,,1.030299486,0.000285486
338,0.61,0.0549,0.6371,0.7449,0.001583063,1.130217,,1.130232314,1.53139E-05
339,0.372,0.0518,1.2961,1.0323,0.00321383,2.295774,,2.294522627,0.001251373
340,0.413,0.0339,1.443,0.6407,0.002635684,1.882818,,1.881753986,0.001064014
341,0.2321,0.0712,2.4189,1.0467,0.006346501,4.540217,,4.531101901,0.009115099
342,0.746,0.048,0.001,0.318,0.001472636,1.051259,,1.051392317,0.000133317
343,-0.0552,0.0166,1.9021,0.7982,0.024939604,17.777363,,17.80570047,0.028337468
344,0.7931,0.0821,-0.4071,0.6427,0.001695132,1.20948,,1.210244365,0.000764365
345,0.216,0.055,1.087,2.252,0.007042577,5.03686,,5.028067881,0.008792119
346,0.3762,0.0622,1.3699,1.6554,0.003140522,2.244526,,2.242184848,0.002341152
347,0.4708,0.1119,0.8101,1.2439,0.002231308,1.592414,,1.593048695,0.000634695
348,0.9006,0.2039,2.5091,1.9755,0.002505726,1.786286,,1.788969814,0.002683814
349,0.47,0.1981,1.3971,1.7516,0.00236099,1.682962,,1.685635802,0.002673802
350,0.4812,0.0616,0.5969,1.2499,0.002139496,1.528317,,1.527499382,0.000817618
351,0.4271,0.1242,1.3299,1.3732,0.002554407,1.823765,,1.823725938,3.90621E-05
352,0.5861,0.083,0.629,0.8707,0.001680002,1.198802,,1.199442502,0.000640502
353,0.6581,0.0715,0.3959,1.0237,0.001504423,1.073452,,1.074086895,0.000634895
354,0.46,0.0745,1.91,0.8412,0.002285184,1.63256,,1.631513668,0.001046332
355,0.4869,0.0454,0.5461,0.9306,0.002104384,1.503267,,1.502430952,0.000836048
356,0.5511,0.0553,0.5149,0.8459,0.001791244,1.279339,,1.278863363,0.000475637
357,0.3731,0.1032,0.8959,1.269,0.003124916,2.233979,,2.231042366,0.002936634
358,0.712,0.0664,0.2928,0.4779,0.001471941,1.050243,,1.050896281,0.000653281
359,0.264,0.0295,1.1691,0.6312,0.005811381,4.153144,,4.14905203,0.00409197
360,0.81,0.0394,-0.4509,0.773,0.001712127,1.222692,,1.222378192,0.000313808
361,0.411,0.1409,1.2531,1.364,0.0026871,1.917822,,1.918462605,0.000640605
362,0.783,0.072,0.1181,1.1091,0.001634241,1.166125,,1.16677126,0.00064626
363,0.4441,0.0482,1.4271,0.5952,0.002382613,1.702,,1.701073398,0.000926602
364,0.6151,0.0906,1.6529,1.1787,0.00161625,1.152937,,1.153926113,0.000989113
365,0.473,0.0787,1.1309,1.8884,0.002198644,1.570201,,1.569728255,0.000472745
366,0.553,0.0838,0.775,2.4154,0.001794959,1.280888,,1.281516266,0.000628266
367,0.7531,0.0477,0.0151,1.5621,0.001488844,1.062831,,1.062964194,0.000133194
368,0.9129,0.1589,-0.4749,1.4353,0.002518088,1.79634,,1.797796218,0.001456218
369,0.736,0.0805,0.2971,1.5329,0.001536656,1.096291,,1.097099729,0.000808729
370,0.9089,0.0878,-0.5549,0.5795,0.002497933,1.783876,,1.783406251,0.000469749
371,0.7091,0.0794,0.33,0.6246,0.001505537,1.07403,,1.074882448,0.000852448
372,0.5799,0.1011,1.0909,1.1138,0.00172469,1.230237,,1.231347257,0.001110257
373,0.6739,0.052,0.4301,0.8271,0.001447239,1.032995,,1.033260538,0.000265538
374,0.8531,0.0796,-0.1749,0.8132,0.002017427,1.44028,,1.440347894,6.78937E-05
375,0.789,0.0859,0.0441,1.8273,0.001688474,1.204651,,1.205490725,0.000839725
376,0.836,0.0637,0.1911,1.0662,0.001889987,1.349287,,1.349361828,7.48277E-05
377,0.922,0.1036,-0.786,0.7121,0.002613679,1.866559,,1.866043316,0.000515684
378,0.737,0.0599,0.021,6.5845,0.001483007,1.058367,,1.058796674,0.000429674
379,0.843,0.1396,-0.6031,1.9331,0.002052335,1.463695,,1.465270403,0.001575403
380,0.7959,0.0748,-0.2231,0.6436,0.001690743,1.206457,,1.207110606,0.000653606
381,0.8,0.0708,0,0.17,0.001700741,1.21388,,1.214248575,0.000368575
382,0.7581,0.063,-0.1851,0.6489,0.001535611,1.095916,,1.096354003,0.000438003
383,0.654,0.0456,0.0041,1.0342,0.001466756,1.047073,,1.047194559,0.000121559
384,0.6399,0.045,0.7739,0.8026,0.001496322,1.068306,,1.068303226,2.7737E-06
385,0.8,0.0592,0.279,0.7372,0.00168118,1.200052,,1.20028319,0.00023119
386,0.6889,0.0408,0.3479,0.5424,0.001413349,1.009001,,1.009064197,6.31966E-05
387,0.7641,0.0527,0.0029,1.9264,0.001529754,1.091859,,1.092172027,0.000313027
388,0.4221,0.034,0.8831,0.5945,0.002542923,1.816277,,1.815527363,0.000749637
389,0.7211,0.0509,0.077,2.8592,0.001440338,1.02804,,1.02833338,0.00029338
390,0.4439,0.0431,0.8969,0.6549,0.00237784,1.69838,,1.697665415,0.000714585
391,0.71,0.0357,0.2751,0.2611,0.001400653,1,,1,0
392,0.77,0.0854,-0.4239,0.769,0.001625151,1.15943,,1.16028083,0.00085083
393,0.693,0.0689,0.524,1.4137,0.0014739,1.051724,,1.052295279,0.000571279
394,0.7771,0.1352,0.5538,1.8012,0.001792805,1.278194,,1.27997818,0.00178418
395,0.7191,0.0806,0.252,1.7873,0.001516224,1.081815,,1.082512674,0.000697674
396,0.702,0.0799,0.8981,1.0741,0.001503928,1.072876,,1.073733741,0.000857741
397,0.3909,0.0413,1.2061,0.8978,0.002927986,2.092073,,2.090443579,0.001629421
398,0.6619,0.0551,0.5261,1.1631,0.001467923,1.047745,,1.048027896,0.000282896
399,0.7864,0.1341,0.0976,0.3183,0.00181536,1.294394,,1.29608112,0.00168712
400,0.1779,0.0598,1.969,1.1424,0.008258591,5.907384,,5.896243967,0.011140033
401,0.491,0.0468,1.275,0.5545,0.002081329,1.486819,,1.485970622,0.000848378
402,0.5591,0.102,0.527,1.0957,0.001793064,1.279113,,1.280163399,0.001050399
403,0.555,0.0311,0.525,0.51,0.001770965,1.26512,,1.26438512,0.00073488
404,0.7699,0.0615,-0.2619,0.8363,0.001566338,1.118057,,1.118291304,0.000234304
405,0.7199,0.0713,0.1,0.6914,0.001491036,1.063785,,1.064529349,0.000744349
406,0.4739,0.0797,1.1021,1.1699,0.002193284,1.566664,,1.565901233,0.000762767
407,0.5521,0.0498,0.5191,1.4094,0.001786625,1.276173,,1.275565921,0.000607079
408,0.9199,0.0752,0.742,0.7652,0.002639582,1.885872,,1.884537092,0.001334908
409,0.7881,0.0494,-0.1564,1.0656,0.0016124,1.151089,,1.151177186,8.81859E-05
410,0.849,0.0525,-0.4931,0.4794,0.001978938,1.413125,,1.412868198,0.000256802
411,0.189,0.0759,1.9487,1.8217,0.007686292,5.502633,,5.487649928,0.014983072
412,0.6119,0.0966,0.2559,1.1053,0.001634814,1.166034,,1.167179833,0.001145833
413,0.3651,0.0798,1.6699,1.2581,0.00327775,2.342846,,2.340158697,0.002687303
414,0.3149,0.0744,1.8939,1.6108,0.004186349,2.992655,,2.988855336,0.003799664
415,0.35,0.0601,1.19,1.103,0.003571669,2.553229,,2.550002766,0.003226234
416,0.1149,0.0278,2.3691,1.0069,0.011107715,7.940508,,7.930384069,0.010123931
417,2.267,0.204,-4.938,0.634,0.137047052,97.918554,,97.84512834,0.07342566
418,2.382,0.092,-5.17,0.289,0.121499567,86.670042,,86.74495721,0.074915213
419,2.264,0.222,-4.495,0.687,0.139166686,99.508235,,99.3584465,0.149788499
420,2.328,0.276,-5.382,0.808,0.154297562,110.663615,,110.1611781,0.50243693
421,1.038,0.074,-0.856,0.246,0.004677392,3.346485,,3.339437382,0.007047618
422,1.247,0.197,-1.547,0.509,0.008963608,6.434752,,6.399593116,0.035158884
423,1.58,0.23,-2.689,0.487,0.035426258,25.917314,,25.2926765,0.624637501
424,1.373,0.275,-2.443,0.662,0.011492497,8.246102,,8.205100679,0.041001321
425,1.101,0.205,-1.139,0.493,0.004694531,3.353025,,3.351673381,0.001351619
426,1.509,0.237,-3.083,0.612,0.025015782,18.242525,,17.860088,0.382437
427,1.821,0.281,-3.926,0.755,0.067354907,49.827014,,48.08822521,1.738788794
428,1.35,0.196,-2.669,0.551,0.014591025,10.541976,,10.41730306,0.124672943
429,0.809,0.142,0.468,0.282,0.001913777,1.364524,,1.3663465,0.0018225
430,1.153,0.192,-1.707,0.567,0.005983787,4.281252,,4.272141716,0.009110284
431,0.902,0.116,-0.724,0.282,0.002413849,1.722897,,1.723374332,0.000477332
432,1.051,0.115,-0.96,0.276,0.004570301,3.270788,,3.262979212,0.007808788
433,1.781,0.347,-3.914,0.851,0.041100553,30.389603,,29.34385542,1.045747581
434,0.696,0.053,-0.152,0.07,0.001435588,1.024641,,1.024942184,0.000301184
435,1.082,0.13,-1.076,0.343,0.005106765,3.656042,,3.645989058,0.010052942
436,1.388,0.243,-2.318,0.507,0.014074183,10.145327,,10.04830223,0.097024767
437,0.992,0.102,-1.262,0.327,0.003552907,2.540154,,2.536608077,0.003545923
438,1.217,0.144,-1.243,0.342,0.009372486,6.736616,,6.691512611,0.045103389
439,1.182,0.087,-1.559,0.187,0.009189106,6.581634,,6.560588222,0.021045778
440,1.594,0.3,-2.791,0.703,0.025755744,18.763105,,18.3883858,0.374719202